image_path,image_name,label,label_id,dataset,subset,phash,group_id,width,height,aspect,gray_like,blur
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\DuwaBench\images\5_47.jpg,5_47.jpg,Diwani,0,DuwaBench,DuwaBench,804a2f7ae1a5d53e,g00000,1200,1200,1.000000,False,413.854187
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\AC_data\Diwani\0155.jpg,0155.jpg,Diwani,0,AC_data,Diwani,80c476faab64c2be,g00001,320,95,3.368421,True,719.138184
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\AC_data\Diwani\0029.jpg,0029.jpg,Diwani,0,AC_data,Diwani,80df708ac9689ff1,g00002,621,112,5.544643,False,897.528320
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\AC_data\Diwani\0125.jpg,0125.jpg,Diwani,0,AC_data,Diwani,80f94f86d30d3ec6,g00003,310,112,2.767857,True,924.641846
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\DuwaBench\images\dwn67.jpg,dwn67.jpg,Diwani,0,DuwaBench,DuwaBench,810592d9b752fed1,g00004,974,1732,0.562356,False,248.118637
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\DuwaBench\images\dwn30.jpg,dwn30.jpg,Diwani,0,DuwaBench,DuwaBench,81cb117d7a62c93b,g00005,480,480,1.000000,False,375.919586
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\DuwaBench\images\5_95.jpg,5_95.jpg,Diwani,0,DuwaBench,DuwaBench,81ee1d991b326e65,g00006,4572,3048,1.500000,False,74.891068
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\DuwaBench\images\6_370.jpg,6_370.jpg,Diwani,0,DuwaBench,DuwaBench,81fa7c2b402b687f,g00007,1280,720,1.777778,False,92.409439
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\DuwaBench\images\5_143.jpg,5_143.jpg,Diwani,0,DuwaBench,DuwaBench,82467aba69292f73,g00008,1801,1801,1.000000,False,266.716492
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\DuwaBench\images\1_144.jpg,1_144.jpg,Diwani,0,DuwaBench,DuwaBench,82eb419e718f7a64,g00009,1946,1946,1.000000,False,116.519791
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\DuwaBench\images\5_142.jpg,5_142.jpg,Diwani,0,DuwaBench,DuwaBench,82fcdd03728a1df1,g00010,2000,1500,1.333333,False,143.001526
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\AC_data\Diwani\0037.jpg,0037.jpg,Diwani,0,AC_data,Diwani,83da9435678a38ed,g00011,535,125,4.280000,False,1065.868896
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\AC_data\Diwani\0038.jpg,0038.jpg,Diwani,0,AC_data,Diwani,83f29c0f63bc836c,g00012,454,146,3.109589,False,1020.162720
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\DuwaBench\images\6_716.jpg,6_716.jpg,Diwani,0,DuwaBench,DuwaBench,84337ace973887a6,g00013,980,980,1.000000,False,210.656845
C:\Users\user\OneDrive - American University of Beirut\Courses\NeuralNetworks-EECE693\Project\ArabicCalligraphyClassificationAndRecognition\data\raw\dataset\DuwaBench\images\dwn58.jpg,dwn58.jpg,Diwani,0,DuwaBench,DuwaBench,84343f133ff0782d,g00014,974,1732,0.562356,False,175.389084
